S.No,Company Name,Industry,Country,Date of Attack,Type of Attack,Attack Vector,Data Type Compromised,Records Exposed,Financial Loss ($),Recovery Cost ($),Downtime (Days),Employees,Ransom Demanded?,Ransom Paid?,Detect Time (Days),Contain Time (Days),Attack Source,Reported?,Regulatory Penalty ($),Public Impact
62,AxisWealth,Finance,France,2020-12-06,Credential Theft,Email,Employee Records,288496,2829451,1312193,5,1074,Yes,Yes,72,14,External,No,57526,Body least concern yourself ever.
63,CloudForge,Tech,UK,2022-05-17,Phishing,Email,User Credentials,188925,588040,282401,29,58580,Yes,Unknown,22,13,External,Yes,973762,Evening war guy clear section make.
64,LifeSure Health,Healthcare,India,2023-12-25,Credential Theft,Cloud Misconfig,Employee Records,392240,1076759,1457626,30,88928,No,Yes,47,3,External,Yes,8495,Building trouble want.
65,RoadRunner Logi,Logistics,Canada,2023-09-21,Data Breach,Email,Health Records,513629,490084,1994725,25,65654,Yes,No,9,26,Internal,Yes,228050,Threat second year.
66,FastMove,Logistics,India,2020-07-25,DDoS,USB Drive,Health Records,458525,2365623,1251807,2,27129,Yes,Yes,41,10,External,No,210691,Factor each factor network care.
67,Learnify,Education,India,2022-03-21,Ransomware,Email,Financial Data,758888,2012101,704823,30,8838,No,Yes,22,6,Internal,Yes,189209,Soon and economy safe either state.
68,TrackSwift,Logistics,India,2022-02-28,Credential Theft,Cloud Misconfig,Financial Data,781016,1941825,1831394,27,30152,No,No,34,14,Internal,Yes,50149,Town check life that.
69,LifeSure Health,Healthcare,Brazil,2024-04-05,Phishing,USB Drive,User Credentials,561102,3679784,426316,21,57841,Yes,Unknown,4,12,Internal,No,43129,Child type fish down debate instead Congress.
70,NetLine,Telecom,Germany,2023-06-28,Ransomware,Cloud Misconfig,Customer Data,295339,2040677,1234995,23,920,No,Unknown,78,3,External,Yes,392773,Follow late officer response however yet.
71,MegaMart,Retail,India,2022-09-27,Data Breach,Phishing Link,User Credentials,189710,3709409,483200,27,81970,No,No,79,7,External,No,26809,Remember security product become.
72,FastMove,Logistics,India,2024-12-29,Ransomware,Third-party Vendor,Health Records,288767,3053981,276718,7,60777,No,Yes,22,17,Internal,Yes,693621,Glass stand toward whose admit court.
73,SkillBridge,Education,UK,2022-10-29,Phishing,Cloud Misconfig,Employee Records,912112,4522293,750734,11,40433,Yes,Unknown,31,28,External,Yes,304304,Note western together ready if red hand.
74,Learnify,Education,India,2024-04-14,Malware,Email,User Credentials,248793,1144814,1283733,3,75467,No,Yes,8,8,External,Yes,880002,Resource prevent of.
75,GreenVolt,Energy,UK,2021-08-11,DDoS,Cloud Misconfig,Health Records,595963,1542643,952501,11,6631,Yes,No,33,4,External,Yes,256348,Than here I together.
76,LifeSure Health,Healthcare,Germany,2021-06-10,Data Breach,Phishing Link,Financial Data,157137,2818172,1764537,20,31930,No,Yes,65,10,Internal,No,788123,Data visit either set sort government.
77,TrackSwift,Logistics,Germany,2024-07-02,Data Breach,Cloud Misconfig,User Credentials,688497,2083700,275368,24,87691,Yes,Yes,57,14,Internal,Yes,864180,Money bill write first list.
78,GreenVolt,Energy,Canada,2023-04-18,DDoS,Phishing Link,Employee Records,117238,3693312,399187,17,83456,Yes,Yes,3,26,Internal,Yes,588497,Who itself media.
79,TrackSwift,Logistics,India,2023-12-27,Credential Theft,Third-party Vendor,Employee Records,767478,688401,47225,29,7426,No,No,79,11,Internal,Yes,912608,Green crime quality itself either take side something.
80,NovaBank,Finance,France,2022-05-23,Data Breach,Third-party Vendor,Health Records,144541,345297,1790387,14,56857,Yes,Unknown,57,14,Internal,Yes,384220,Cell score American life second.
81,HealTech,Healthcare,France,2023-05-18,Ransomware,Phishing Link,Financial Data,712241,1938985,1267391,18,7677,No,No,4,24,External,No,631279,Executive itself mind side need begin high.
82,SkillBridge,Education,Canada,2023-09-23,Phishing,Web App,Employee Records,310039,538237,596236,26,83320,No,Unknown,11,20,External,Yes,686034,Along perform break itself Congress.
83,SkillBridge,Education,France,2022-08-15,Data Breach,USB Drive,Employee Records,38925,3426078,741540,29,93976,Yes,Unknown,100,4,Internal,Yes,746433,Ready home soldier his property show mean.
84,TrackSwift,Logistics,Brazil,2021-11-18,DDoS,Phishing Link,User Credentials,383367,1330845,545923,17,22714,Yes,No,95,29,External,No,773926,Those money guy news own part.
85,SafePay Group,Finance,Singapore,2022-07-04,Credential Theft,Email,Customer Data,316722,4313322,1815834,9,37006,No,Unknown,73,3,External,Yes,729271,Anyone these toward thank now.
86,NetLine,Telecom,Singapore,2024-01-13,Data Breach,Phishing Link,User Credentials,569178,4053655,1915214,12,23810,Yes,Unknown,41,4,External,Yes,862919,Month less consumer either worker.
87,ShopEase,Retail,Australia,2023-07-04,Credential Theft,USB Drive,User Credentials,39331,4059258,1760981,25,80065,Yes,No,35,14,External,No,946042,Quickly moment their someone well.
88,AxisWealth,Finance,Canada,2021-06-25,Phishing,Cloud Misconfig,Health Records,146371,3251327,1100448,13,22432,Yes,Yes,46,17,Internal,No,238474,As human model coach explain notice against.
89,HealTech,Healthcare,France,2021-07-24,Ransomware,Phishing Link,Health Records,552391,4929485,1323773,11,54763,Yes,Yes,57,16,External,Yes,60231,Without data other huge.
90,LifeSure Health,Healthcare,India,2023-07-15,Ransomware,USB Drive,Customer Data,340732,4313783,1690207,15,73275,No,Unknown,88,20,Internal,No,612602,Order newspaper yes or who common market air.
91,Learnify,Education,Singapore,2025-02-06,Data Breach,Third-party Vendor,User Credentials,132797,235023,1178666,19,59556,Yes,Unknown,23,29,Internal,No,536958,Country key imagine step behavior.
92,BrightMinds,Education,Brazil,2023-04-03,Ransomware,Email,Employee Records,347411,3038056,1217511,8,72907,No,Yes,8,10,Internal,No,703830,Inside eye why religious heart.
93,CodeVista,Tech,Singapore,2022-09-30,Data Breach,Cloud Misconfig,Customer Data,541074,636766,784263,10,99364,Yes,No,85,9,External,No,731548,Interest discover full leader gas.
94,TrustCapital,Finance,UK,2022-09-02,Credential Theft,Phishing Link,Financial Data,416551,1334803,1817311,4,32727,No,No,95,2,Internal,No,342447,Upon push care get difficult nothing.
95,ConnectNow,Telecom,Japan,2021-09-27,Phishing,USB Drive,User Credentials,503006,3712625,1905464,13,82353,No,Yes,88,10,Internal,No,816568,Culture woman history concern field newspaper resource.
96,EduFuture,Education,USA,2022-05-08,DDoS,Third-party Vendor,Customer Data,691445,2703894,620099,7,47501,No,Yes,36,27,Internal,No,832802,Soon position pretty full doctor big.
97,ShopEase,Retail,Japan,2021-02-28,DDoS,USB Drive,User Credentials,764833,2030619,721876,22,33077,Yes,No,34,7,Internal,Yes,912561,Challenge same stand security section big.
98,NetLine,Telecom,USA,2023-09-07,Phishing,Web App,Financial Data,333050,905073,1243578,10,31175,No,Yes,97,21,External,No,579501,Soldier finish raise join.
99,FastMove,Logistics,France,2025-04-11,Ransomware,Third-party Vendor,Health Records,968086,3945987,1356498,3,63070,Yes,Yes,57,21,External,Yes,637247,My left region believe interview seem every.
100,BioGenix,Healthcare,Canada,2022-09-06,Phishing,Email,Employee Records,794475,4132126,1414514,3,37445,No,Unknown,2,23,Internal,No,785760,Owner especially different tonight animal right try.
101,TrackSwift,Logistics,Singapore,2025-03-21,Malware,Cloud Misconfig,User Credentials,165197,839753,931162,12,41018,Yes,Yes,40,2,Internal,Yes,603206,Listen suggest number.
102,CodeVista,Tech,USA,2025-02-16,DDoS,Phishing Link,Financial Data,929972,692898,1560128,17,78633,No,Unknown,7,17,External,No,468924,Group line high growth music stop just.
103,TrackSwift,Logistics,France,2023-11-04,Malware,Web App,Customer Data,509351,1064043,1154727,16,32296,Yes,Yes,2,7,Internal,No,17572,News measure discuss member trial within.
104,ShopEase,Retail,Canada,2022-05-27,DDoS,Email,User Credentials,962487,1438197,243448,26,13036,No,Unknown,79,2,Internal,Yes,946936,Star stand worry still its window population.
105,LifeSure Health,Healthcare,Germany,2023-01-19,Ransomware,Email,Financial Data,994427,4975529,1201987,15,78591,Yes,No,15,6,External,Yes,158656,Company space particular event.
106,TrackSwift,Logistics,USA,2023-03-17,Phishing,Cloud Misconfig,Health Records,876566,3435112,344591,29,54100,No,No,26,23,External,No,292486,Open seven hear term visit police difficult.
107,TrustCapital,Finance,Japan,2024-11-27,Data Breach,Third-party Vendor,Employee Records,200798,1393173,1631510,16,97450,Yes,Yes,99,25,External,Yes,988178,Drug end pass moment share be.
108,OpenCampus,Education,Canada,2021-07-24,Data Breach,USB Drive,Health Records,977024,1679937,1766697,5,63360,Yes,No,8,21,External,No,489894,Fast industry beyond energy.
109,TrustCapital,Finance,USA,2024-07-13,DDoS,Web App,Customer Data,814230,1563490,1448473,12,90677,No,Yes,33,6,External,Yes,126656,Bring difficult reduce unit clearly myself.
110,OpenCampus,Education,France,2024-04-04,Ransomware,Web App,Financial Data,773897,3122461,1134166,18,10943,Yes,No,55,1,Internal,Yes,896700,Trade letter method company picture.
111,AxisWealth,Finance,Canada,2024-10-08,Phishing,Email,Financial Data,561285,1766164,962104,22,10480,No,Unknown,27,20,Internal,Yes,734053,Officer reach key south.
112,LifeSure Health,Healthcare,France,2025-01-25,Credential Theft,Phishing Link,Financial Data,96327,1661109,824626,8,33493,Yes,Unknown,73,27,External,Yes,107986,Building mind example feel Mr their assume.
113,AxisWealth,Finance,Brazil,2021-05-22,Credential Theft,Phishing Link,Financial Data,250000,3832372,850631,20,27230,Yes,No,34,6,Internal,No,915411,System whose rise be.
114,EnergyCore,Energy,UK,2022-06-04,Ransomware,Phishing Link,Health Records,81755,3690590,86899,6,72252,No,Unknown,26,7,External,No,211063,Clearly particular opportunity chair.
115,SkillBridge,Education,USA,2022-07-01,Malware,USB Drive,Financial Data,62182,4195643,1783769,10,72427,Yes,Yes,94,25,External,Yes,953575,Customer past institution provide early well agreement.
116,EduFuture,Education,UK,2025-05-21,Ransomware,Cloud Misconfig,Financial Data,617105,328283,201411,10,42461,Yes,Yes,16,10,Internal,Yes,679033,Decision become unit.
117,AxisWealth,Finance,Canada,2021-05-05,Malware,Email,Financial Data,480712,4680236,111688,29,77409,No,No,63,3,External,Yes,921301,Accept particular approach laugh yeah.
118,NetLine,Telecom,USA,2023-02-15,Credential Theft,Email,Financial Data,851299,586942,259655,22,54194,No,Unknown,62,15,Internal,No,193777,Certain speech southern job dream.
119,CargoXpress,Logistics,Japan,2020-12-20,Ransomware,Cloud Misconfig,User Credentials,603235,3277160,1260724,11,56248,Yes,Yes,42,4,Internal,Yes,306109,Up everybody once.
120,BioGenix,Healthcare,Singapore,2021-07-01,Malware,Cloud Misconfig,Health Records,155318,4378028,1695629,16,9654,No,Unknown,78,11,Internal,No,581420,Congress official structure inside any conference indicate wear.
121,TechBloom,Tech,Germany,2022-09-28,Data Breach,Cloud Misconfig,Customer Data,815478,215659,1816552,7,2917,No,Unknown,62,4,Internal,Yes,478404,Including model international magazine defense body.
122,NetLine,Telecom,France,2024-12-19,DDoS,Web App,Financial Data,334765,2230349,806898,2,2411,Yes,Unknown,76,15,Internal,No,76549,Safe say seek Republican foot seven staff reality.
123,AxisWealth,Finance,Germany,2024-01-29,Credential Theft,USB Drive,Financial Data,816200,2903174,935187,10,64098,Yes,Unknown,96,22,Internal,Yes,185,Night seven occur question similar.
124,NovaBank,Finance,Canada,2022-06-13,Phishing,Cloud Misconfig,Health Records,203370,3062503,1817059,12,64843,Yes,Unknown,58,2,External,No,387809,Home natural walk specific figure point.
125,OpenCampus,Education,Brazil,2021-11-05,Phishing,Phishing Link,Financial Data,659883,1900303,1134865,22,46902,Yes,Yes,90,9,External,No,461549,Pick open once station hotel career wall.
126,MegaMart,Retail,India,2024-07-23,Credential Theft,Email,Employee Records,999356,2904212,986853,28,12729,Yes,Unknown,38,24,External,Yes,927834,One sister mention customer art decade agent fund.
127,FastMove,Logistics,Singapore,2020-08-01,Phishing,Phishing Link,Employee Records,624936,1847407,156906,29,5900,Yes,Yes,14,27,External,Yes,584864,Democrat partner standard develop.
128,AxisWealth,Finance,Australia,2023-10-12,Phishing,Phishing Link,Financial Data,120658,1924445,1441467,24,39535,No,Unknown,4,6,External,No,318384,Treat second laugh take whatever system.
129,TechBloom,Tech,Canada,2023-09-28,Ransomware,Third-party Vendor,Health Records,280476,705298,1362774,17,91459,Yes,Unknown,54,7,External,Yes,198648,Its television first same ground.
130,NetLine,Telecom,UK,2021-08-13,Data Breach,Phishing Link,Employee Records,911698,2608141,1483276,27,65989,No,Unknown,98,14,External,No,766891,Black say walk lose start religious.
131,CodeVista,Tech,Australia,2024-03-07,DDoS,Email,Employee Records,759813,4842906,313505,20,48135,Yes,Yes,11,9,Internal,No,740923,Book improve clear fall.
132,MegaMart,Retail,Japan,2022-05-01,Malware,Email,Employee Records,422660,4677747,587832,30,22187,No,Yes,26,16,External,No,385552,Include before cell thing share final.
133,TrustCapital,Finance,Australia,2021-10-15,Phishing,Phishing Link,Financial Data,573091,4075423,47510,24,96752,No,Yes,38,4,External,No,86268,Tell campaign water after exist.
134,TechBloom,Tech,India,2021-04-25,Credential Theft,Cloud Misconfig,Employee Records,722826,1409307,543504,27,21587,Yes,No,11,2,External,No,132719,Office matter raise drug offer.
135,TrustCapital,Finance,Australia,2024-11-05,Credential Theft,USB Drive,User Credentials,180264,771455,48241,14,11721,Yes,No,55,8,External,Yes,702015,Billion successful security protect southern card.
136,LifeSure Health,Healthcare,USA,2023-01-25,Ransomware,Cloud Misconfig,Employee Records,607733,1191150,1541486,9,50199,No,Unknown,66,25,External,Yes,47323,Response let suffer chance professional.
137,TechBloom,Tech,USA,2023-02-08,Credential Theft,Cloud Misconfig,Customer Data,329849,118830,1953602,26,71018,No,No,54,14,External,Yes,547809,Easy begin major nor leave least.
138,SafePay Group,Finance,Japan,2024-09-28,Data Breach,Cloud Misconfig,Employee Records,397596,2698047,244522,9,47705,Yes,Unknown,62,9,External,Yes,732246,One surface item well Mrs.
139,Learnify,Education,Brazil,2025-04-27,Data Breach,Web App,Employee Records,471789,3725572,235852,22,91128,No,Unknown,48,19,Internal,Yes,710608,Realize though final window.
140,NetLine,Telecom,Australia,2023-08-09,DDoS,Web App,Employee Records,253917,1776306,1422184,16,85599,Yes,No,32,28,External,Yes,307766,Born check throughout feel product.
141,CloudForge,Tech,Brazil,2021-12-18,Malware,Email,Customer Data,571707,2237643,620731,27,1665,Yes,Yes,82,3,External,Yes,661972,Word answer majority charge build other.
142,EnergyCore,Energy,USA,2023-12-30,Credential Theft,Phishing Link,User Credentials,958962,1448001,1640158,16,30987,Yes,Unknown,7,7,Internal,No,805387,Natural against back fear near perform.
143,TrackSwift,Logistics,Canada,2021-05-26,Ransomware,Phishing Link,Financial Data,932549,254909,740909,19,1236,No,Yes,67,18,Internal,No,110823,Back message generation seek.
144,UrbanCart,Retail,Japan,2024-12-28,Ransomware,Third-party Vendor,User Credentials,175982,4752559,525253,12,50861,Yes,No,27,18,Internal,Yes,195670,Science speak talk.
145,MegaMart,Retail,Singapore,2020-08-18,DDoS,Email,Customer Data,997240,3993631,987508,29,10770,No,Unknown,88,20,Internal,No,691997,Book local each important population bad story.
146,ShopEase,Retail,Japan,2024-06-06,Phishing,Third-party Vendor,User Credentials,170931,322984,1584809,16,34989,Yes,Yes,18,15,External,No,837671,Measure by see past.
147,CloudForge,Tech,France,2024-12-08,Data Breach,Third-party Vendor,Financial Data,873795,1946761,1774495,30,30690,Yes,Yes,50,29,External,No,294221,Discuss life hope cause recognize old where society.
148,LifeSure Health,Healthcare,USA,2025-02-19,DDoS,Third-party Vendor,Customer Data,420873,559491,1848157,19,28475,No,Unknown,63,11,Internal,No,473674,Receive president generation other may.
149,FastMove,Logistics,USA,2022-05-31,Credential Theft,USB Drive,Financial Data,539237,3534584,474082,29,51711,No,Unknown,45,17,External,Yes,882542,Range focus approach.
150,CodeVista,Tech,Canada,2021-06-01,Data Breach,Web App,User Credentials,754125,516624,696616,10,25684,No,No,89,28,External,Yes,536484,Large smile anything audience later.
151,MediTech Global,Healthcare,Canada,2021-01-03,Credential Theft,USB Drive,Employee Records,731129,4836044,1811797,21,32284,No,Unknown,94,27,External,Yes,496845,Sister evening material plant set.
152,EnergyCore,Energy,Canada,2024-06-22,Malware,Web App,Financial Data,516092,2398706,1838483,21,17802,No,Yes,57,1,External,No,413727,Audience politics begin report real.
153,CodeVista,Tech,Singapore,2025-05-16,Malware,Web App,User Credentials,403686,771305,593158,8,72813,No,No,31,1,External,No,625417,Start their end full work eye movie.
154,ShopEase,Retail,Brazil,2022-05-02,Credential Theft,Third-party Vendor,Financial Data,744644,1401687,778084,28,3670,No,Unknown,2,24,Internal,Yes,143078,Major claim between return perhaps century head.
